L100, D100
-0.000927401, -7.74993e-05
-0.000366325, -0.000103507
-0.000100388, -0.000324458
-0.00039522, 0.000132943
-0.000998598, -2.33578e-05
1.81008e-05, -5.85769e-05
4.02139e-05, -3.65119e-05
-9.92816e-05, -2.90653e-05
0.000239776, 0.000351887
3.70893e-05, -0.00012622
2.23913e-05, 0.000203662
-0.0002208, 4.13572e-05
-0.000344804, 4.69785e-05
-1.95894e-05, -8.10224e-05
7.05492e-05, 0.000160562
-0.000999294, -2.34693e-05
0.000222621, 0.000454225
-4.2752e-06, -0.000356305
-0.00038815, 6.54092e-05
-3.40374e-05, -7.85222e-05
-0.000175096, 6.35188e-05
-3.7057e-05, 5.08457e-05
-0.000131424, -1.83102e-05
-0.000427525, 1.39566e-05
-0.000878541, -0.000353624
-0.000326697, 4.94349e-05
-0.000305582, -0.000220953
3.35096e-05, 2.37296e-05
-0.00103809, -0.000101607
-0.000152725, -9.99123e-05
-0.00082856, 0.00034787
4.27414e-05, 0.000155803
-0.000509844, 0.000134512
0.000251836, -0.00038495
-0.000765037, 9.07248e-05
-6.67196e-05, 0.00010105
-0.000774018, -0.000255639
-5.57628e-05, 8.91254e-05
-0.000384211, -3.86505e-05
-0.000314868, -7.23338e-05
-3.8692e-05, 0.000146804
-0.000389783, -4.56619e-05
8.98482e-06, 0.000140115
-8.85839e-05, -3.14756e-05
-0.000978129, 0.000315344
-0.000231771, -0.00020163
-9.03053e-05, -7.27888e-05
0.000109893, -0.000170558
-0.000416414, -8.67869e-06
8.34902e-06, -0.000372267
0.000358454, 6.04301e-05
-0.000256863, 2.80089e-05
-0.000156453, -0.000347501
-3.30954e-05, 0.000247205
-0.000200696, -1.47488e-05
-0.000762921, 0.000281155
-0.000976614, -0.000433301
-0.000293253, 0.000165054
-0.000110562, -1.86927e-05
-3.56856e-05, 0.00015972
3.4128e-05, 3.34556e-05
6.65345e-05, -0.000159836
-0.000271219, 0.000235149
-0.000200968, -3.51892e-05
-0.000963803, -0.000326869
0.000117089, -6.72894e-05
0.000216651, -0.000224506
0.000120806, -4.92554e-05
-0.000950787, 0.000319532
-0.000413722, 7.43937e-05
-0.000897825, 0.000163614
3.6304e-05, -4.52091e-05
-0.000345121, -0.000189907
3.46635e-07, -0.000309442
-8.41214e-05, 3.93096e-05
-0.000284907, 0.000160999
-6.46656e-05, 0.000343917
-0.00104593, -0.000299732
-0.000365189, 0.000300262
6.3108e-06, -0.000225214
-6.57954e-05, -2.01325e-05
-0.00032115, -0.000247539
1.11623e-05, 4.85286e-06
-0.000145259, 0.000170344
-6.98182e-05, 1.99629e-05
-0.000344656, -0.000132773
0.000145272, 0.000194638
-0.00013896, 3.75265e-05
-0.000930048, 0.000378186
-0.00037573, 8.91372e-05
8.40498e-05, 3.33825e-05
-8.31195e-05, 4.96385e-05
-5.10329e-05, 0.000223275
-0.000350701, 6.66226e-05
-0.00012894, 0.000131481
-0.000246892, -0.000235258
-0.000346456, -0.000100074
-0.000529646, 6.66075e-05
-0.000979204, -0.000354443
-0.000821002, 0.000337716
-1.70906e-05, -6.36412e-05
-8.51948e-05, 1.24666e-05
-0.000242435, 6.8083e-06
-0.000458754, 0.000161593
-0.000156501, -0.000110559
-0.000257371, 0.000167109
0.000289972, -0.000112756
-0.000597601, -0.000281603
-0.000249668, 0.00017083
-0.00011689, 0.000136901
-0.000460568, 1.21404e-05
-0.000310101, -4.70766e-05
-0.000143296, 0.000289946
-0.00101477, 3.73616e-05
3.53797e-06, 0.000210997
-0.000988202, -0.000392512
-0.000377905, 0.000107219
0.000321249, 0.000373278
-0.000423701, 0.00019746
-0.000271548, 0.000160411
-0.000186689, 1.08794e-05
-0.000196751, 0.000149203
0.000238942, -0.000393085
-0.000103316, 0.000120513
-0.000112166, -4.28604e-05
-0.000152091, 2.18261e-05
-0.000297744, -0.000168629
-0.000119764, -5.50267e-05
0.000284464, -3.45601e-05
-0.000221032, 3.74054e-05
-0.00033621, -3.57173e-05
6.25495e-05, -0.00103025
-0.000986983, -0.000114214
-0.000128626, -0.000155199
0.000185167, -0.000411087
-6.13586e-05, -0.000397277
-7.97219e-05, -0.000369436
0.000136832, 0.000103376
-0.00037748, -0.000108636
-4.34675e-05, -3.03668e-05
-0.000138827, -8.08675e-07
-0.000290493, 0.000153211
-0.00011425, 4.28022e-05
-0.000110731, -0.000376956
-0.000135729, -0.000104398
-4.08867e-05, 1.14158e-05
-0.000262202, 0.000171521
6.65413e-05, 0.000162679
9.03178e-06, -7.23249e-06
0.000487545, 5.96906e-05
-0.000282743, -5.27332e-05
-0.00098775, 0.000275015
-4.30229e-05, 3.96318e-07
-0.000618713, -0.00011248
-0.000178489, -9.29014e-05
-4.11761e-05, -0.000145363
-0.000948312, -0.000106042
-8.97538e-05, -2.95388e-05
-7.97994e-05, 0.000156198
-3.86491e-05, -1.75195e-05
-6.44723e-05, 6.78805e-05
-0.000414686, 0.000225849
-5.61101e-05, 5.99704e-05
3.96588e-05, 0.000345823
-0.000184372, -4.06209e-05
-0.00034388, -0.000118054
-7.53614e-06, -7.65705e-05
